Close,Open,High,Low
5804.81,5814.88,5819.92,5765.38
5876.42,5803.7,5890.02,5783.92
5924.18,5888.17,5947.57,5863.6
5925.58,5941.1,5979.25,5905.58
5712.28,5868.33,5868.33,5704.28
5713.09,5709.43,5757.52,5659.83
5668.43,5710.56,5710.56,5626.41
5655.09,5674.76,5710.45,5632.99
5584.99,5645.86,5645.86,5506
5647.15,5616.41,5677.11,5616.41
5686.19,5665.67,5695.18,5648.64
5757.3,5749.98,5772.64,5739.26
5669.58,5748.34,5748.34,5645.79
5555.84,5628.61,5628.61,5501.17
5325.9,5472.03,5472.03,5309.42
5358.35,5296.25,5387.87,5296.25
5399.47,5234.51,5487.34,5131.03
5069.87,5409.34,5416.04,5043.99
4505.16,5020.89,5020.89,4227.5
4877.02,4547.7,4949.27,4547.7
5006.1,4941.72,5059.89,4892.46
4932.11,5048.17,5073.7,4912.17
4961.57,4922.48,4978.56,4804.9
5123.23,4993.45,5132.9,4993.45
5102.22,5117.52,5143.93,4976.01
5081.95,5116.58,5163.61,5049.21
5058.55,5054.45,5107.6,5019.39
4835.39,5026.92,5026.92,4821.59
4759.62,4760.28,4830.08,4665.21
4835.12,4792.01,4899.53,4792.01
4923.69,4846.09,4946.15,4846.09
4817.99,4972.27,5012.52,4789.63
4889,4803.31,4902.27,4759.35
4938.15,4927.5,4991.48,4905.53
4962.63,4960.87,4972.74,4891.86
4963.75,4972.34,5000.59,4945.24
4944.64,4954.06,4975.75,4919.94
4832.71,4931.49,4945.86,4823.1
4746.01,4810.42,4810.42,4725.39
4814.85,4696.51,4824.03,4696.51
4788.8,4837.36,4863.63,4772.1
4839.88,4791.3,4859.81,4746.51
4769.99,4833.84,4836.4,4750.73
4738.62,4770.65,4790.93,4731.72
4735.86,4732.95,4767.35,4717.78
4644,4742.8,4752.47,4635.17
4708.55,4656.81,4717.74,4613.94
4756.39,4717.83,4775.66,4680.42
4837.6,4784.58,4844.72,4772.87
4841.38,4838.74,4873.71,4802.04
4795.46,4859.94,4877.9,4788.85
4874.05,4813.76,4879.81,4785.94
4870.58,4842.46,4895.48,4813.16
4843.77,4861.15,4894.39,4831.85
4928.59,4846.42,4939.4,4839.18
4955.97,4919.54,4987.05,4912.22
4843.84,4972.06,5004.17,4808.63
4945.48,4766.49,4954.86,4723.04
4944.54,4949.42,4967.92,4917.38
4898.99,4961.87,4978.49,4878.06
4848.3,4911.22,4933.34,4835.34
4888.19,4849.38,4900.18,4844.66
4951.17,4894.4,4961.32,4874.46
4975.4,4957.08,5009.63,4942.43
4957.88,4974.52,4982.04,4936.6
4993.76,4973.88,5041.19,4951.55
5054.29,5041.14,5082.81,5020.69
5073.34,5073.1,5086.03,5034.2
5118.17,5046.99,5126.45,5034.23
5075.88,5130.86,5155.63,5068.62
5070.29,5087.66,5104.66,5045.46
5120.45,5082.61,5133.8,5051.49
5170.32,5134.92,5200.85,5134.92
5202.53,5193.25,5210.92,5167.29
5194.63,5213.55,5242.15,5181.99
5169.07,5189.88,5201.56,5145.22
5252.78,5178.61,5257.32,5178.61
5196.99,5249.73,5262.89,5166.19
5233.21,5182.19,5240.29,5154.32
5252.05,5248.46,5266.99,5214.99
5175.16,5263.27,5269.22,5159.53
5139.77,5167.52,5194.04,5117.8
5102.92,5126.91,5144.7,5084.51
5102.37,5105.26,5114.79,5056.07
5102.94,5124.29,5148.53,5083.03
5038.28,5103.97,5103.97,5025.49
5123.65,5056.17,5132.83,5056.17
5064.66,5128.1,5128.1,5047.75
5033.69,5064.42,5080.22,5022.29
5067.39,5048.63,5084.74,5040.71
5088.56,5073.23,5093.37,5054.56
5135.45,5105.38,5145.6,5105.38
5117.01,5147.86,5148.75,5094.56
5186.45,5130.54,5192.8,5130.54
5192.08,5192.18,5202.51,5155.96
5210.85,5202.16,5222.81,5202.02
5198.72,5218.95,5233.32,5189.29
5218.46,5190.69,5223.94,5178.57
5246.23,5226.09,5264.87,5226.09
5264.67,5245.16,5270.89,5240.15
5298.16,5281.11,5305.67,5270.66
5298.23,5307.83,5328.33,5269.51
5370.05,5305.42,5376.65,5281.06
5397.46,5380.71,5421.52,5379.6
5428.77,5409.52,5434.33,5376.04
5420.09,5438.49,5456.85,5399.34
5477.68,5415.46,5483.59,5401
5561.15,5489.12,5569.47,5489.12
5545.82,5566.53,5585.57,5535.57
5605.93,5547.49,5611.6,5536
5616.87,5600.21,5638.79,5571.84
5539.48,5598.14,5609.04,5530.86
5527.75,5527.22,5575.4,5513.68
5511.81,5530,5545.73,5486.41
5462.61,5506.83,5518.21,5454.85
5527.56,5472.7,5533.33,5428.2
5583.61,5545.26,5598.55,5545.26
5675.54,5587.46,5685.68,5573.56
5766.3,5706.32,5785.04,5706.32
5758.67,5760.19,5786.54,5741.7
5713.75,5761.44,5799.92,5699.32
